ticker,name,asset_type,exchange,sector,industry,theme,decision_bucket,decision_subtype,confidence,main_reason,primary_blocker,supporting_features,blocked_features,excluded_features,missing_data,next_action,next_best_action,data_readiness_score,readiness_score,data_confidence,analysis_score,decision_score,feature_summary,updated_at,Reason
A,Agilent Technologies,company,,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for A.,Add source-backed peer mappings and peer metrics for A.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.323822+00:00,Core data is ready for a supported research pass.
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AACB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for AACB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.5,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.324028+00:00,Company research is blocked by missing dcf data.
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.247,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AACI. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for AACI. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.313,0.313,low,0.5,24.7,"ready: price, momentum, market_direction; partial: liquidity, correlation, fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.324178+00:00,Company research is blocked by missing dcf data.
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.247,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AACO. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for AACO. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.313,0.313,low,0.5,24.7,"ready: price, momentum, market_direction; partial: liquidity, correlation, fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.324313+00:00,Company research is blocked by missing dcf data.
AAL,"American Airlines Group, Inc. - Common Stock",company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.574,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAL.,Add source-backed peer mappings and peer metrics for AAL.,0.553,0.553,medium,0.6,57.4,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.324453+00:00,Core data is ready for a supported research pass.
AAME,Atlantic American Corporation - Common Stock,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.349,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAME.,Add source-backed peer mappings and peer metrics for AAME.,0.553,0.553,medium,0.1,34.9,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.324704+00:00,Core data is ready for a supported research pass.
AAOI,"Applied Optoelectronics, Inc. - Common Stock",company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAOI.,Add source-backed peer mappings and peer metrics for AAOI.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.324902+00:00,Core data is ready for a supported research pass.
AAON,"AAON, Inc. - Common Stock",company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAON.,Add source-backed peer mappings and peer metrics for AAON.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325054+00:00,Core data is ready for a supported research pass.
AAPG,Ascentage Pharma Group International - American Depository Shares,company,NASDAQ,,,,Blocked by Data,Blocked by Data - Missing Fundamentals,0.259,Company research is blocked by missing dcf data.,fundamentals,"price, momentum, market_direction, liquidity, correlation","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AAPG. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.","Import trusted fundamentals for AAPG. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",0.392,0.392,low,0.1,25.9,"ready: price, momentum, market_direction, liquidity, correlation; partial: fundamentals; blocked: dcf, peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325194+00:00,Company research is blocked by missing dcf data.
AAPL,Apple Inc.,company,NASDAQ,,,,Research Now,Research Candidate - DCF Ready But Peer Blocked,0.61,Core data is ready for a supported research pass.,peers,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf","peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for AAPL.,Add source-backed peer mappings and peer metrics for AAPL.,0.553,0.553,medium,0.68,61.0,"ready: price, momentum, market_direction, liquidity, correlation, fundamentals, dcf; partial: -; blocked: peer, earnings, analyst_estimates; excluded: portfolio",2026-05-28T04:09:14.325337+00:00,Core data is ready for a supported research pass.
