Ticker,PrimaryPurpose,QualityScore,ValuationScore,MomentumConfirmationScore,ValueTrapRiskScore,ValuationStatus,PeerCount,PeerRelativeStatus,RelativeOpportunityScore,StandalonePE,PeerMedianPE,StandaloneForwardPE,PeerMedianForwardPE,StandaloneEVToSales,PeerMedianEVToSales,StandaloneEVToEBITDA,PeerMedianEVToEBITDA,StandalonePriceToFCF,PeerMedianPriceToFCF,FinalValueCategory,Reason,MissingDataFields
A,Core Compounder,100.0,,60.0,0.0,ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Not enough valuation multiples are available for a peer comparison. Missing data: EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
AACB,Core Compounder,,,100.0,0.0,not_ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"valuation_status=not_ready: required DCF inputs are incomplete. Fundamentals are unavailable, so valuation and quality cannot be verified. DCF readiness missing: free_cash_flow, shares_outstanding, revenue, fcf_margin. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable.",fundamentals unavailable
AACI,Core Compounder,,,,0.0,not_ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"valuation_status=not_ready: required DCF inputs are incomplete. Fundamentals are unavailable, so valuation and quality cannot be verified. DCF readiness missing: free_cash_flow, shares_outstanding, revenue, fcf_margin. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable.",fundamentals unavailable
AACO,Core Compounder,,,,0.0,not_ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"valuation_status=not_ready: required DCF inputs are incomplete. Fundamentals are unavailable, so valuation and quality cannot be verified. DCF readiness missing: free_cash_flow, shares_outstanding, revenue, fcf_margin. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable.",fundamentals unavailable
AAL,Core Compounder,40.0,,100.0,35.0,ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Trap flags: negative FCF, deteriorating margin. Not enough valuation multiples are available for a peer comparison. Missing data: EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
AAME,Broken / Avoid,70.0,,0.0,30.0,ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Trap flags: deteriorating margin, below 50SMA with no recovery. Not enough valuation multiples are available for a peer comparison. Missing data: EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
AAOI,Core Compounder,40.0,,100.0,35.0,ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Trap flags: negative FCF, deteriorating margin. Not enough valuation multiples are available for a peer comparison. Missing data: EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
AAON,Core Compounder,70.0,,100.0,20.0,ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Trap flags: negative FCF. Not enough valuation multiples are available for a peer comparison. Missing data: EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
AAPG,Broken / Avoid,,,0.0,15.0,not_ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"valuation_status=not_ready: required DCF inputs are incomplete. Fundamentals are unavailable and trend confirmation is weak. DCF readiness missing: free_cash_flow, revenue, fcf_margin. Trap flags: below 50SMA with no recovery. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable.",fundamentals unavailable
AAPL,Core Compounder,100.0,,100.0,0.0,ready,0,Insufficient Peer Data,,,,,,,,,,,,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Not enough valuation multiples are available for a peer comparison. Missing data: EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, GrossMargin, DebtToEquity, PE, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
